comuna,apruebo,rechazo,votos_en_blanco_2022,votos_nulos_2022,a_favor,en_contra,votos_en_blanco_2023,votos_nulos_2023
NACIMIENTO,4759,16081,143,261,11267,8860,335,731
NANCAGUA,4336,9703,99,186,6239,7406,256,529
NATALES,6256,9013,142,274,5653,9363,363,978
NAVIDAD,2696,3838,79,162,2622,3859,128,398
NEGRETE,1272,6676,45,121,4782,3086,139,307
NINHUE,1015,3944,32,99,2750,1863,110,268
NOGALES,7215,10079,155,306,5837,10849,272,803
NUEVA IMPERIAL,7504,18191,147,400,12300,12518,431,1204
O'HIGGINS,136,289,5,2,203,184,6,17
OLIVAR,3414,8092,92,218,5340,5942,169,492
OLLAGUE,197,707,9,10,364,435,14,17
OLMUE,5056,10029,94,354,7067,7663,229,675
OSORNO,40396,79430,661,1897,53387,62977,1544,5076
OVALLE,28559,50875,581,1345,32294,44772,1423,3469
PADRE HURTADO,20640,24920,225,703,18638,28743,504,1592
PADRE LAS CASAS,14444,38379,322,854,26164,25478,947,2458
PAIHUANO,1534,2837,31,71,1851,2296,87,170
PAILLACO,4029,12022,97,184,8203,7456,256,656
PAINE,19030,32860,306,768,24285,27572,683,1858
PALENA,407,973,13,9,669,564,52,75
PALMILLA,2804,7100,58,118,4896,4810,168,395
PANGUIPULLI,7144,20314,238,504,13547,13159,580,1408
PANQUEHUE,2142,3917,34,86,2556,3422,89,211
PAPUDO,2310,3603,31,53,2650,3281,51,152
PAREDONES,2120,4154,57,78,2647,3237,179,248
PARRAL,7817,25868,157,395,18129,14380,459,1536
PEDRO AGUIRRE CERDA,42205,34737,416,1341,23512,48897,831,2663
PELARCO,1786,6258,37,116,4519,3425,106,393
PELLUHUE,1695,5372,30,106,4062,2688,92,302
PEMUCO,1698,5519,41,94,4202,2730,111,293
PENCAHUE,2065,7216,44,97,4837,3821,130,427
PENCO,14094,23333,211,614,14564,21883,466,1462
PERALILLO,2880,6520,71,153,4458,4685,188,409
PERQUENCO,1454,4341,47,96,2948,2616,121,297
PETORCA,3492,4465,89,164,2404,5168,143,383
PEUMO,4230,7395,102,142,4275,7006,224,447
PEÑAFLOR,30730,35173,338,1076,23870,40405,702,2240
PEÑALOLEN,78867,85994,1045,2723,59163,99139,1710,5783
PICA,1519,3013,31,54,2127,2220,66,140
PICHIDEGUA,4496,11354,95,158,7562,7948,297,606
PICHILEMU,5939,9576,106,285,6918,8223,255,648
PINTO,1759,8774,60,125,7096,3217,116,452
PIRQUE,9152,12762,137,311,9405,12172,250,735
PITRUFQUEN,4827,14374,124,288,10092,8945,315,804
PLACILLA,2192,5504,58,110,3498,3957,150,380
PORTEZUELO,1172,3666,27,61,2662,1915,94,191
PORVENIR,1543,2233,22,51,1445,2245,62,206
POZO ALMONTE,2367,6704,33,128,4104,4712,137,353
PRIMAVERA,213,289,3,1,171,234,11,19
PROVIDENCIA,50318,72935,645,1288,56186,60244,1299,2370
PUCHUNCAVI,6746,9059,114,304,6622,9700,214,693
PUCON,7936,15980,175,454,11686,11809,399,1066
PUDAHUEL,74007,76792,776,2565,52898,94763,1571,5160
PUENTE ALTO,181627,174696,1792,6708,121877,230478,3447,13229
PUERTO MONTT,52451,114287,1074,2456,79495,86193,3041,7183
PUERTO OCTAY,2342,5183,59,119,3251,4006,130,350
PUERTO VARAS,11453,27756,195,472,20641,17345,639,1382
PUMANQUE,1085,2656,26,42,1767,1818,89,167
PUNITAQUI,2988,6113,75,162,3555,5182,188,455
PUNTA ARENAS,36882,54624,693,1648,35461,52805,1664,4396
PUQUELDON,946,2317,49,42,1286,1726,119,162
PUREN,1993,7922,68,141,5785,3607,179,379
PURRANQUE,3958,12371,108,204,8329,7151,302,701
PUTAENDO,5085,7674,101,189,4701,7531,205,578
PUTRE,602,1983,12,35,939,944,12,80
PUYEHUE,2592,7568,64,138,5008,4884,197,422
QUEILEN,1385,2972,57,57,1818,2228,193,211
QUELLON,5192,13584,213,263,8625,9686,677,869
QUEMCHI,1841,4724,119,121,3126,3149,287,304
QUILACO,860,2888,22,29,2070,1575,52,122
QUILICURA,60931,66324,837,2302,44389,81450,1603,4587
QUILLECO,1470,6721,53,109,4851,3026,123,342
QUILLON,3242,11185,128,184,8071,6179,270,634
QUILLOTA,24371,41314,363,1216,28418,35504,900,2821
QUILPUE,50936,65699,741,2431,47112,67358,1291,4783
QUINCHAO,2271,3753,91,113,2155,3360,225,352
QUINTA DE TILCOCO,3758,7521,102,170,4847,5966,223,488
QUINTA NORMAL,40112,40888,470,1409,29860,48812,758,2626
QUINTERO,9205,12771,175,517,8771,13527,340,1026
QUIRIHUE,2346,6964,62,150,4734,4168,165,410
RANCAGUA,68051,104817,855,2845,69048,99546,1681,6801
RANQUIL,1203,3899,28,77,2840,2176,90,184
RAUCO,2177,6975,56,183,4753,4237,162,499
RECOLETA,54029,58367,780,1943,39377,66532,1256,3659
RENAICO,1607,6707,50,105,4555,3455,169,337
RENCA,48848,49966,586,1725,32467,62165,1163,3655
RENGO,15343,29348,298,649,18460,25310,667,1841
REQUINOA,6153,15407,109,259,10562,10739,309,785
RETIRO,2803,13716,102,194,10058,6271,283,717
RINCONADA,3241,5700,61,75,3848,5062,131,210
RIO BUENO,6264,18891,173,331,12699,11550,427,1105
RIO CLARO,2637,8830,76,152,6047,5156,235,534
RIO HURTADO,1131,2768,40,83,1766,1896,85,200
RIO IBAÑEZ,747,1459,17,29,1058,946,57,135
RIO NEGRO,2895,8274,61,156,5446,5225,173,467
RIO VERDE,115,322,3,2,195,171,4,12
ROMERAL,3229,9700,74,164,6608,6157,211,577
SAAVEDRA,3145,6862,106,185,4289,5008,285,499
SAGRADA FAMILIA,4371,10706,89,145,7029,7623,282,572
SALAMANCA,7541,12558,195,305,7442,11925,437,939
SAN ANTONIO,34195,34167,394,1201,22134,44696,781,2794
SAN BERNARDO,86645,110134,1125,3215,72548,117266,2200,7275
SAN CARLOS,8835,32613,222,585,23925,16397,608,1768
SAN CLEMENTE,8090,26170,207,454,17007,16449,489,1711
SAN ESTEBAN,4730,9399,95,209,5694,8259,183,555
SAN FABIAN,1193,3110,26,53,2314,1939,93,198
SAN FELIPE,20892,31658,373,859,20823,29999,700,2042
SAN FERNANDO,19500,36799,289,807,24535,30155,682,2256
SAN GREGORIO,107,260,5,6,146,150,5,7
SAN IGNACIO,2357,10947,61,146,8200,4872,202,533
SAN JAVIER,8655,27312,178,514,18591,16568,522,1656
SAN JOAQUIN,36580,31295,394,1345,21914,43186,698,2465
SAN JOSE DE MAIPO,6782,7181,80,216,4618,8726,172,527
SAN JUAN DE LA COSTA,2460,4373,52,97,2745,3844,116,347
SAN MIGUEL,41200,41293,399,1156,32974,49732,792,2258
SAN NICOLAS,2488,8294,68,145,6117,4628,183,563
SAN PABLO,2616,6011,47,134,4061,4263,133,418
SAN PEDRO,2234,5501,56,114,4025,3604,151,403
SAN PEDRO DE ATACAMA,2681,3211,32,108,1811,3910,100,249
SAN PEDRO DE LA PAZ,28453,56267,428,1092,39284,45865,991,2880
SAN RAFAEL,2026,6258,49,80,4145,3988,137,414
SAN RAMON,31979,34908,432,1279,21696,40298,819,2604
SAN ROSENDO,1172,2356,18,37,1427,1849,49,146
SAN VICENTE,12922,24429,262,566,16022,20341,601,1555
SANTA BARBARA,2251,8840,69,166,6406,4360,203,464
SANTA CRUZ,8553,20453,208,410,13990,14422,479,1194
SANTA JUANA,2637,8881,82,149,6172,5020,248,477
SANTA MARIA,3505,7646,91,138,4806,6175,171,474
SANTIAGO,106990,124140,1446,3240,94523,132978,2526,6412
SANTO DOMINGO,3518,7678,76,159,6307,5125,121,382
SIERRA GORDA,501,1029,5,18,408,690,7,37
TALAGANTE,22234,31471,282,781,21714,30988,698,1771
TALCA,59243,104224,778,2128,72424,87347,1909,5765
TALCAHUANO,39365,71977,582,1896,46553,59925,1265,4332
TALTAL,3361,4530,60,120,2582,4921,145,363
TEMUCO,61323,139628,1079,2654,97818,97249,2462,7026
TENO,5608,17588,119,387,12287,10652,327,1022
TEODORO SCHMIDT,2755,9171,118,205,6527,4824,306,546
TIERRA AMARILLA,3542,6829,72,213,3723,5929,197,542
TILTIL,5258,8333,80,252,5950,7570,142,469
TIMAUKEL,49,160,0,3,82,56,1,5
TIRUA,1725,5874,50,136,3994,2977,188,500
TOCOPILLA,6787,10094,95,376,5255,10722,214,842
TOLTEN,1842,6181,44,106,4178,3458,180,358
TOME,14311,28969,266,639,18374,23631,597,1741
TORRES DEL PAINE,345,774,9,16,396,483,28,32
TORTEL,171,236,3,8,125,242,5,25
TRAIGUEN,3222,11588,102,182,8004,6095,271,598
TREHUACO,1191,4132,31,43,2886,2058,96,206
TUCAPEL,2767,8793,70,181,6370,4993,206,537
VALDIVIA,50343,69315,845,1684,46236,69479,1725,4128
VALLENAR,14794,23189,325,712,13842,22812,635,1801
VALPARAISO,110326,111824,1400,4235,74393,135505,2611,8870
VICHUQUEN,1363,3061,35,43,2116,1865,104,204
VICTORIA,5224,21404,141,339,15196,9986,399,1111
VICUÑA,7404,13433,183,355,8016,11872,389,1038
VILCUN,4591,16119,149,356,10967,9361,365,967
VILLA ALEGRE,2732,9841,86,190,6514,5796,188,637
VILLA ALEMANA,37610,51546,521,1953,37993,51590,1033,3834
VILLARRICA,14251,32929,295,885,24234,22524,750,2127
VITACURA,9801,60890,245,606,53365,14169,477,1207
VIÑA DEL MAR,105823,141864,1643,4186,102759,136251,3282,8279
YERBAS BUENAS,2829,11474,68,184,7987,6281,206,712
YUMBEL,4310,13334,130,255,8889,8336,347,795
YUNGAY,4206,10207,115,229,7001,7168,275,714
ZAPALLAR,2831,5698,42,106,4676,3786,98,257
ÑIQUEN,1674,7919,48,123,5821,3576,151,450
ÑUÑOA,84762,83326,781,1992,66010,99317,1606,3839
NA,0,0,0,0,NA,NA,NA,NA
