codigo_comuna,comuna,sexo,anos_de_escolaridad_promedio_para_la_poblacion_de_18_anos_o_mas
6105,Doñihue,Mujer,11.4
6106,Graneros,Hombre,11.5
6106,Graneros,Mujer,11.5
6107,Las Cabras,Hombre,10.1
6107,Las Cabras,Mujer,10.5
6108,Machalí,Hombre,13.6
6108,Machalí,Mujer,13.3
6109,Malloa,Hombre,10
6109,Malloa,Mujer,10.5
6110,Mostazal,Hombre,10.9
6110,Mostazal,Mujer,11
6111,Olivar,Hombre,11.1
6111,Olivar,Mujer,11.3
6112,Peumo,Hombre,10.3
6112,Peumo,Mujer,10.6
6113,Pichidegua,Hombre,9.7
6113,Pichidegua,Mujer,10.2
6114,Quinta de Tilcoco,Hombre,10.1
6114,Quinta de Tilcoco,Mujer,10.8
6115,Rengo,Hombre,11
6115,Rengo,Mujer,11.2
6116,Requínoa,Hombre,11
6116,Requínoa,Mujer,11.1
6117,San Vicente,Hombre,10.8
6117,San Vicente,Mujer,11.2
6201,Pichilemu,Hombre,11.6
6201,Pichilemu,Mujer,11.9
6202,La Estrella,Hombre,10.3
6202,La Estrella,Mujer,10.4
6203,Litueche,Hombre,10.4
6203,Litueche,Mujer,10.8
6204,Marchihue,Hombre,9.9
6204,Marchihue,Mujer,10.3
6205,Navidad,Hombre,10.7
6205,Navidad,Mujer,11.2
6206,Paredones,Hombre,9
6206,Paredones,Mujer,9.5
6301,San Fernando,Hombre,11.6
6301,San Fernando,Mujer,11.8
6302,Chépica,Hombre,9.6
6302,Chépica,Mujer,10.1
6303,Chimbarongo,Hombre,10.1
6303,Chimbarongo,Mujer,10.5
6304,Lolol,Hombre,9.7
6304,Lolol,Mujer,10
6305,Nancagua,Hombre,10.4
6305,Nancagua,Mujer,10.6
6306,Palmilla,Hombre,9.9
6306,Palmilla,Mujer,10.2
6307,Peralillo,Hombre,10.3
6307,Peralillo,Mujer,10.7
6308,Placilla,Hombre,10.1
6308,Placilla,Mujer,10.5
6309,Pumanque,Hombre,9.6
6309,Pumanque,Mujer,10
6310,Santa Cruz,Hombre,11.1
6310,Santa Cruz,Mujer,11.4
7101,Talca,Hombre,12.4
7101,Talca,Mujer,12.5
7102,Constitución,Hombre,10.7
7102,Constitución,Mujer,11
7103,Curepto,Hombre,9.1
7103,Curepto,Mujer,9.5
7104,Empedrado,Hombre,8.9
7104,Empedrado,Mujer,9.7
7105,Maule,Hombre,11.7
7105,Maule,Mujer,12.1
7106,Pelarco,Hombre,9.7
7106,Pelarco,Mujer,10.4
7107,Pencahue,Hombre,9.8
7107,Pencahue,Mujer,10.4
7108,Río Claro,Hombre,9.2
7108,Río Claro,Mujer,9.7
7109,San Clemente,Hombre,9.8
7109,San Clemente,Mujer,10.3
7110,San Rafael,Hombre,10.1
7110,San Rafael,Mujer,10.5
7201,Cauquenes,Hombre,10.2
7201,Cauquenes,Mujer,10.7
7202,Chanco,Hombre,9.1
7202,Chanco,Mujer,9.7
7203,Pelluhue,Hombre,10.4
7203,Pelluhue,Mujer,11
7301,Curicó,Hombre,11.7
7301,Curicó,Mujer,11.8
7302,Hualañé,Hombre,9.6
7302,Hualañé,Mujer,10.2
7303,Licantén,Hombre,10.4
7303,Licantén,Mujer,10.9
7304,Molina,Hombre,10.5
7304,Molina,Mujer,10.7
7305,Rauco,Hombre,9.9
7305,Rauco,Mujer,10.3
7306,Romeral,Hombre,10.3
7306,Romeral,Mujer,10.6
7307,Sagrada Familia,Hombre,9.5
7307,Sagrada Familia,Mujer,10
7308,Teno,Hombre,9.6
7308,Teno,Mujer,10.1
7309,Vichuquén,Hombre,10
7309,Vichuquén,Mujer,10.5
7401,Linares,Hombre,11.3
7401,Linares,Mujer,11.6
7402,Colbún,Hombre,9.9
7402,Colbún,Mujer,10.4
7403,Longaví,Hombre,9.2
7403,Longaví,Mujer,9.7
7404,Parral,Hombre,10.4
7404,Parral,Mujer,10.7
7405,Retiro,Hombre,9.3
7405,Retiro,Mujer,9.9
7406,San Javier,Hombre,10.4
7406,San Javier,Mujer,10.7
7407,Villa Alegre,Hombre,10
7407,Villa Alegre,Mujer,10.4
7408,Yerbas Buenas,Hombre,9.3
7408,Yerbas Buenas,Mujer,9.8
16101,Chillán,Hombre,12.3
16101,Chillán,Mujer,12.3
16102,Bulnes,Hombre,10.4
16102,Bulnes,Mujer,10.6
16103,Chillán Viejo,Hombre,11.5
16103,Chillán Viejo,Mujer,11.7
16104,El Carmen,Hombre,9.4
16104,El Carmen,Mujer,9.9
16105,Pemuco,Hombre,9.6
16105,Pemuco,Mujer,10.1
16106,Pinto,Hombre,10.2
16106,Pinto,Mujer,10.7
16107,Quillón,Hombre,10.2
16107,Quillón,Mujer,10.3
16108,San Ignacio,Hombre,9.5
16108,San Ignacio,Mujer,9.9
16109,Yungay,Hombre,10.6
16109,Yungay,Mujer,10.6
16201,Quirihue,Hombre,9.8
16201,Quirihue,Mujer,10.5
16202,Cobquecura,Hombre,9.4
16202,Cobquecura,Mujer,10.2
16203,Coelemu,Hombre,10.1
16203,Coelemu,Mujer,10.5
16204,Ninhue,Hombre,9
16204,Ninhue,Mujer,9.6
16205,Portezuelo,Hombre,9.1
16205,Portezuelo,Mujer,9.6
16206,Ránquil,Hombre,9.8
16206,Ránquil,Mujer,10.1
16207,Trehuaco,Hombre,9.5
16207,Trehuaco,Mujer,10.1
16301,San Carlos,Hombre,10.4
16301,San Carlos,Mujer,10.7
16302,Coihueco,Hombre,9.7
16302,Coihueco,Mujer,10.3
16303,Ñiquén,Hombre,9
16303,Ñiquén,Mujer,9.5
16304,San Fabián,Hombre,10.3
16304,San Fabián,Mujer,10.7
16305,San Nicolás,Hombre,9.9
16305,San Nicolás,Mujer,10.3
8101,Concepción,Hombre,13.5
8101,Concepción,Mujer,13.4
8102,Coronel,Hombre,11.8
8102,Coronel,Mujer,11.6
8103,Chiguayante,Hombre,13
8103,Chiguayante,Mujer,12.7
8104,Florida,Hombre,10.2
8104,Florida,Mujer,10.5
8105,Hualqui,Hombre,10.8
8105,Hualqui,Mujer,11
8106,Lota,Hombre,11
8106,Lota,Mujer,10.6
8107,Penco,Hombre,11.8
8107,Penco,Mujer,11.7
8108,San Pedro de La paz,Hombre,13.2
8108,San Pedro de La paz,Mujer,13
8109,Santa Juana,Hombre,10.1
8109,Santa Juana,Mujer,10.4
8110,Talcahuano,Hombre,12.7
8110,Talcahuano,Mujer,12.3
8111,Tomé,Hombre,11.6
8111,Tomé,Mujer,11.6
8112,Hualpén,Hombre,12.5
8112,Hualpén,Mujer,12.3
8201,Lebu,Hombre,10.3
8201,Lebu,Mujer,10.6
8202,Arauco,Hombre,10.8
8202,Arauco,Mujer,11
8203,Cañete,Hombre,10.2
8203,Cañete,Mujer,10.4
8204,Contulmo,Hombre,9.7
8204,Contulmo,Mujer,10.1
8205,Curanilahue,Hombre,10.6
8205,Curanilahue,Mujer,10.7
8206,Los Álamos,Hombre,10
8206,Los Álamos,Mujer,10.3
8207,Tirúa,Hombre,9.3
8207,Tirúa,Mujer,9.8
8301,Los Ángeles,Hombre,11.7
8301,Los Ángeles,Mujer,11.8
8302,Antuco,Hombre,10.4
8302,Antuco,Mujer,10.6
8303,Cabrero,Hombre,10.5
8303,Cabrero,Mujer,10.6
8304,Laja,Hombre,10.7
8304,Laja,Mujer,10.7
8305,Mulchén,Hombre,10
8305,Mulchén,Mujer,10.2
8306,Nacimiento,Hombre,10.8
8306,Nacimiento,Mujer,10.7
8307,Negrete,Hombre,9.8
8307,Negrete,Mujer,10.1
8308,Quilaco,Hombre,9.6
8308,Quilaco,Mujer,10
